,year,temperature
0,1980,8.88052315322878
1,1981,10.011185364837663
2,1982,10.228468892873147
3,1983,10.663764994455994
4,1984,9.59019904846194
5,1985,8.81923211990358
6,1986,9.766031070149756
7,1987,9.080913709309916
8,1988,10.250212713673918
9,1989,10.847090934448266
10,1990,10.790159719950381
11,1991,9.56403863301596
12,1992,11.04363280853273
13,1993,9.717238645985935
14,1994,11.260128381652848
15,1995,9.951254942270936
16,1996,8.417502027333603
17,1997,9.487376844380734
18,1998,10.38948130864462
19,1999,10.222884655965183
20,2000,11.486134284973167
21,2001,10.143950020294207
22,2002,10.877750629781099
23,2003,10.679263893737803
24,2004,10.022476831868508
25,2005,9.714599556223567
26,2006,10.447172200063088
27,2007,11.499984375203473
28,2008,11.285741400909435
29,2009,10.923382909088147
30,2010,9.458021496022562
31,2011,10.824305496622756
32,2012,11.386171745859793
33,2013,10.582245037587498
34,2014,11.865801494852727
35,2015,11.678043653208439
36,2016,11.157994883371993
37,2017,11.296426943511975
38,2018,12.181152659962985
39,2019,12.029856021626822
