,year,scenario1,scenario2,scenario3
0,2024,8.407846304850722,8.407846304850722,8.407846304850722
1,2025,10.264170293651057,10.275281404762168,10.28639251587328
2,2026,9.836813473138909,9.859035695361131,9.881257917583353
3,2027,8.661035664767391,8.694368998100725,8.727702331434058
4,2028,9.383624536630228,9.428068981074672,9.472513425519116
5,2029,9.324388857821214,9.37994441337677,9.435499968932325
6,2030,9.29254735085072,9.359214017517386,9.425880684184053
7,2031,9.984665597225723,10.0624433750035,10.140221152781278
8,2032,9.524401322911482,9.61329021180037,9.702179100689259
9,2033,11.092880312427104,11.192880312427103,11.292880312427103
10,2034,9.9435774729601,10.054688584071211,10.165799695182322
11,2035,9.335288487611129,9.45751070983335,9.579732932055574
12,2036,8.280679604236141,8.414012937569474,8.547346270902809
13,2037,9.933374675687512,10.077819120131956,10.222263564576402
14,2038,9.467783274222228,9.623338829777783,9.77889438533334
15,2039,8.971752141479195,9.138418808145861,9.305085474812529
16,2040,9.834809854354196,10.012587632131973,10.190365409909752
17,2041,10.659440145026048,10.848329033914936,11.037217922803826
18,2042,8.661536940892384,8.861536940892384,9.061536940892385
19,2043,10.683875764225709,10.89498687533682,11.106097986447931
20,2044,9.699060532380216,9.921282754602437,10.14350497682466
21,2045,10.681318610378474,10.914651943711807,11.14798527704514
22,2046,10.45008370009378,10.694528144538225,10.938972588982669
23,2047,10.167456465550364,10.42301202110592,10.678567576661475
24,2048,10.36924764391668,10.635914310583347,10.902580977250013
25,2049,10.981086526239613,11.258864304017392,11.536642081795168
26,2050,9.59592724399829,9.88481613288718,10.173705021776067
27,2051,11.140702803390644,11.440702803390645,11.740702803390644
28,2052,10.212549594409742,10.523660705520854,10.834771816631964
29,2053,9.938639159303838,10.26086138152606,10.583083603748282
30,2054,10.84550390574482,11.178837239078154,11.512170572411486
31,2055,10.572736396470498,10.917180840914943,11.261625285359386
32,2056,9.501358822116345,9.8569143776719,10.212469933227455
33,2057,11.146397724256962,11.51306439092363,11.879731057590295
34,2058,9.802802865253506,10.180580643031284,10.558358420809062
35,2059,10.314182353161476,10.703071242050365,11.091960130939254
36,2060,10.193484491848992,10.593484491848992,10.993484491848992
37,2061,11.459860924288222,11.870972035399333,12.282083146510445
38,2062,10.189173169885445,10.611395392107667,11.03361761432989
39,2063,10.989408502116339,11.422741835449672,11.856075168783006
40,2064,11.022408733196192,11.466853177640637,11.911297622085081
41,2065,10.36306750457642,10.818623060131976,11.274178615687532
42,2066,11.321353287751757,11.788019954418424,12.25468662108509
43,2067,11.722830159751746,12.200607937529524,12.678385715307302
44,2068,9.768605817480937,10.257494706369826,10.746383595258715
45,2069,11.29413119575869,11.79413119575869,12.29413119575869
46,2070,9.479736557711812,9.990847668822923,10.501958779934034
47,2071,10.990382841185792,11.512605063408014,12.034827285630236
48,2072,10.069948682664938,10.603282015998271,11.136615349331604
49,2073,11.623726725100719,12.168171169545163,12.712615613989607
50,2074,10.473687675291691,11.029243230847246,11.584798786402802
51,2075,11.566809283425371,12.133475950092038,12.700142616758704
52,2076,9.80465072438023,10.382428502158007,10.960206279935784
53,2077,11.900286677776066,12.489175566664954,13.078064455553843
54,2078,12.392725286194468,12.992725286194467,13.592725286194469
